Symbol,Name,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳
430017.bj,星昊医药,16.62,0.49,3.038,16.54,16.56,16.13,16.08,16.63,15.98,1411939.0,23089740.0,10:24:29
430047.bj,诺思兰德,14.41,0.25,1.766,14.39,14.41,14.16,14.29,14.56,14.07,1738615.0,24918051.0,10:24:29
430090.bj,同辉信息,6.77,-0.04,-0.587,6.76,6.77,6.81,6.8,6.92,6.69,2768889.0,18853103.0,10:24:29
430139.bj,华岭股份,26.03,0.04,0.154,25.99,26.03,25.99,26.1,26.4,25.67,2436480.0,63413429.0,10:24:29
430198.bj,微创光电,13.75,0.2,1.476,13.75,13.76,13.55,13.55,13.94,13.37,1863579.0,25562494.0,10:24:29
430300.bj,辰光医疗,18.21,2.61,16.731,18.21,18.22,15.6,16.1,18.34,15.68,11267250.0,195803677.0,10:24:29
430418.bj,苏轴股份,39.2,0.15,0.384,39.2,39.21,39.05,39.31,40.11,38.54,2679743.0,105824785.0,10:24:29
430425.bj,乐创技术,26.85,0.35,1.321,26.8,26.85,26.5,26.11,26.98,25.51,1626132.0,42898061.0,10:24:29
430476.bj,海能技术,13.28,0.25,1.919,13.28,13.29,13.03,13.0,13.43,12.84,1653625.0,21824472.0,10:24:29
430478.bj,峆一药业,20.98,0.49,2.391,20.97,21.0,20.49,20.63,21.31,20.42,1007769.0,21089529.0,10:24:29
430489.bj,佳先股份,20.98,0.23,1.108,20.98,20.99,20.75,20.86,21.1,20.55,1673949.0,34839932.0,10:24:29
430510.bj,丰光精密,22.73,0.25,1.112,22.73,22.74,22.48,22.46,23.11,22.36,1447935.0,32982655.0,10:24:29
430556.bj,雅达股份,10.78,0.17,1.602,10.78,10.79,10.61,10.56,10.85,10.46,2689691.0,28751758.0,10:24:29
430564.bj,天润科技,23.29,0.22,0.954,23.28,23.29,23.07,22.87,23.42,22.56,1046553.0,24158305.0,10:24:29
430685.bj,新芝生物,13.25,0.4,3.113,13.25,13.26,12.85,12.9,13.31,12.82,888712.0,11664190.0,10:24:29
430718.bj,合肥高科,18.1,0.55,3.134,18.03,18.1,17.55,17.53,18.2,17.33,967703.0,17348264.0,10:24:29
830779.bj,武汉蓝电,57.21,0.33,0.58,57.21,57.24,56.88,57.0,57.88,56.14,580094.0,33153538.0,10:24:29
830799.bj,艾融软件,58.59,-0.86,-1.447,58.59,58.6,59.45,58.9,59.7,58.5,1252793.0,73913649.0,10:24:29
830809.bj,安达科技,6.26,0.06,0.968,6.26,6.28,6.2,6.17,6.35,6.09,4554655.0,28388413.0,10:24:29
830832.bj,齐鲁华信,8.0,0.37,4.849,7.98,7.99,7.63,7.65,8.05,7.59,2068216.0,16278657.0,10:24:29
830839.bj,万通液压,32.02,0.08,0.25,31.96,32.0,31.94,30.04,33.0,30.02,3249891.0,102762121.0,10:24:29
830879.bj,基康仪器,17.41,0.96,5.836,17.4,17.41,16.45,16.48,17.73,16.4,2519161.0,43353528.0,10:24:29
830896.bj,旺成科技,20.47,0.12,0.59,20.41,20.47,20.35,20.16,20.78,20.07,1125886.0,23014336.0,10:24:29
830946.bj,森萱医药,10.29,0.02,0.195,10.29,10.3,10.27,10.14,10.38,10.14,1843707.0,18947209.0,10:24:29
