Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACCS,ACCESS Newswire Inc. Common Stock,$9.40,-0.2999,-3.092%,36039384.00,United States,,4997,Consumer Discretionary,Publishing
ACU,Acme United Corporation. Common Stock,$37.31,-0.52,-1.375%,139593611.00,United States,1988,3650,Consumer Discretionary,Industrial Machinery/Components
AEF,abrdn Emerging Markets ex-China Fund Inc. Common Stock,$5.12,-0.02,-0.389%,549696000.00,United States,,522448,Finance,Finance/Investors Services
AEON,AEON Biopharma Inc. Class A Common Stock,$0.6601,-0.0499,-7.028%,733176.00,United States,,2900663,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$0.133,-0.0013,-0.968%,8472957.00,United States,1997,686779,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIRI,Air Industries Group Common Stock,$3.98,-0.02,-0.50%,13365314.00,United States,,18631,Industrials,Military/Government/Technical
AMBI,Ambipar Emergency Response Class A Ordinary Shares,$3.95,-0.03,-0.754%,218947911.00,,,35877,Industrials,Environmental Services
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),$2.29,-0.03,-1.293%,6541101.00,China,,51579,Real Estate,Other Consumer Services
AMS,American Shared Hospital Services Common Stock,$2.7475,-0.0125,-0.453%,17638950.00,United States,1988,9420,Health Care,Medical Specialities
APT,Alpha Pro Tech Ltd. Common Stock,$5.28,-0.06,-1.124%,58073136.00,Canada,2000,14516,Health Care,Industrial Specialties
AREN,The Arena Group Holdings Inc. Common Stock,$1.60,0.07,4.575%,75945198.00,United States,2022,17269,Technology,EDP Services
ARMN,Aris Mining Corporation Common Shares,$3.96,-0.10,-2.463%,674431726.00,,2023,297959,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$2.023,-0.077,-3.667%,73198345.00,United States,,10340,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$1.37,0.05,3.788%,185093579.00,Canada,,1740065,Basic Materials,Metal Mining
ATCH,AtlasClear Holdings Inc. Common Stock,$1.39,-0.19,-12.025%,1668988.00,,2024,487396,Finance,Finance: Consumer Services
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$1.14,0.00,0.00%,35563316.00,United States,,59041,Health Care,Biotechnology: Pharmaceutical Preparations
AUST,Austin Gold Corp. Common Shares,$1.38,0.05,3.759%,18315015.00,,2022,25429,Basic Materials,Precious Metals
AWX,Avalon Holdings Corporation Common Stock,$3.11,-0.07,-2.201%,12127230.00,United States,1998,7701,Utilities,Environmental Services
